049,277,259,044,292,096,001,
273,079,174,296,001,252,204,
002,248,063,125,078,294,024,
107,059,002,258,092,105,273,
166,029,022,090,234,003,140,
026,226,265,185,066,190,003,
098,277,032,219,162,041,003,
185,172,003,252,242,206,289,
010,132,048,093,164,064,004,
182,011,046,255,004,127,267,
092,071,021,037,197,004,080,
004,270,197,155,201,278,027,
004,077,093,207,070,108,105,
113,005,112,073,102,121,275,
006,034,084,298,281,282,092,
009,210,281,271,204,266,019,
204,187,024,009,119,042,180,
256,028,009,109,211,214,113,
109,158,009,154,146,193,161,
161,028,279,139,010,144,057,
040,252,010,205,090,157,065,
046,123,011,062,106,184,246,
288,061,011,225,219,263,251,
200,105,011,223,113,195,269,
018,277,032,012,203,292,233,
211,053,055,012,192,072,049,
054,238,063,013,211,283,170,
115,095,282,068,014,080,162,
014,085,208,070,236,071,285,
021,222,033,166,203,015,255,
085,148,095,040,149,015,043,
263,275,196,288,015,229,046,
098,062,102,015,252,245,164,
024,288,292,016,138,297,300,
020,266,121,268,047,092,017,
158,131,188,084,145,111,017,
254,083,103,196,215,018,284,
285,073,019,199,247,084,135,
130,271,294,108,254,019,095,
097,251,020,068,250,278,294,
258,070,066,050,021,139,229,
021,244,136,177,236,071,198,
082,140,022,111,036,293,215,
023,163,155,084,232,234,181,
262,023,182,195,163,200,263,
221,277,024,117,285,027,297,
280,282,069,200,230,024,032,
070,251,024,194,192,278,121,
254,129,025,282,102,273,156,
196,076,116,198,165,032,026,
059,147,287,118,027,271,269,
224,223,208,289,085,149,027,
145,258,028,095,146,249,150,
082,066,298,168,196,030,216,
032,184,067,138,140,169,041,
034,152,173,053,237,035,244,
063,282,034,035,212,272,057,
108,123,087,034,191,197,285,
265,034,176,196,169,161,142,
120,088,035,057,232,115,044,
089,099,053,036,133,153,294,
116,036,203,217,254,277,286,
213,038,050,037,291,241,106,
270,062,151,188,215,038,240,
250,076,107,230,049,039,193,
076,189,164,039,218,204,237,
255,224,040,124,161,131,288,
041,149,105,063,076,207,122,
130,118,165,290,145,042,092,
051,043,065,106,070,168,282,
074,078,100,282,043,190,287,
044,074,083,183,113,241,270,
097,246,227,168,057,261,046,
233,122,235,247,285,260,047,
100,162,268,049,229,125,057,
096,260,155,262,066,049,097,
212,154,189,049,140,278,159,
258,149,052,206,256,199,214,
058,107,078,183,104,199,064,
089,191,060,283,226,195,268,
261,202,086,269,133,062,238,
136,067,296,111,075,234,138,
069,278,277,218,074,231,169,
072,215,082,300,210,237,070,
075,070,083,203,190,174,256,
196,265,073,122,071,234,099,
265,174,127,135,214,270,073,
269,080,076,215,186,152,284,
144,222,135,077,212,170,235,
081,292,223,229,246,124,204,
138,181,082,148,200,236,284,
082,238,260,252,183,239,299,
262,130,129,248,271,084,272,
252,208,085,265,116,270,287,
154,117,105,093,107,144,138,
208,175,097,123,189,228,238,
281,105,114,108,237,252,192,
133,110,152,222,240,123,203,
280,194,253,123,268,232,282,
139,224,266,239,292,183,200,
