040,286,013,290,227,177,001,107,167,006,
193,023,001,062,204,074,081,063,085,026,
052,050,194,002,167,030,207,226,024,005,
247,061,100,178,119,201,241,016,002,286,
008,022,054,299,213,003,263,220,166,093,
100,042,003,178,144,226,117,083,095,046,
120,186,171,003,089,185,267,219,114,117,
004,266,118,299,195,166,108,281,013,224,
150,170,092,058,203,121,076,228,099,004,
289,060,246,137,166,231,004,259,249,214,
279,148,006,137,088,170,012,194,246,179,
159,007,040,253,172,022,078,086,270,287,
029,184,252,094,170,104,007,059,227,231,
055,113,235,061,146,117,009,270,056,099,
150,021,010,191,060,011,250,048,145,093,
010,133,030,229,077,184,227,210,270,048,
126,266,048,073,138,010,078,033,249,213,
088,291,010,194,073,037,151,185,079,110,
011,049,204,214,126,223,055,298,285,192,
081,204,159,011,264,220,255,211,196,292,
267,015,120,077,163,245,235,284,012,099,
203,047,295,092,103,012,220,061,094,209,
013,021,166,275,199,133,293,253,102,072,
136,042,113,111,120,168,013,277,227,160,
132,119,262,145,013,253,277,044,199,258,
013,078,202,116,270,197,206,257,181,286,
133,017,148,014,136,225,231,179,028,093,
266,018,019,265,064,014,190,207,146,165,
058,234,014,029,023,114,097,076,274,294,
094,178,256,275,014,287,050,127,110,221,
083,133,057,291,146,162,153,276,114,014,
130,085,223,180,220,264,244,229,114,014,
014,299,122,288,165,208,152,211,112,290,
154,176,072,044,126,244,093,016,037,080,
124,134,016,115,225,063,150,249,077,263,
074,017,275,064,111,107,169,299,230,255,
050,247,018,252,293,299,272,088,071,098,
057,110,018,143,098,177,183,213,249,279,
269,069,262,138,180,074,093,205,140,018,
018,130,267,208,100,197,132,149,199,227,
216,132,106,019,119,047,147,142,185,248,
063,095,226,073,049,072,019,296,131,261,
276,064,104,068,048,020,139,254,075,295,
097,189,254,167,020,138,231,249,280,187,
141,075,293,057,021,143,073,108,276,087,
148,022,039,217,196,273,247,223,253,182,
106,072,067,237,235,087,022,241,234,104,
162,181,135,199,273,022,084,288,143,267,
259,023,092,100,165,101,040,280,057,290,
168,166,246,220,087,141,051,024,065,080,
024,074,172,197,280,271,276,173,249,296,
239,028,025,104,144,243,127,180,080,085,
206,284,128,028,160,180,086,293,268,036,
232,085,212,298,028,229,180,240,056,261,
112,082,083,240,219,169,028,113,212,181,
284,056,029,227,265,251,262,234,283,205,
067,199,254,129,095,251,029,194,277,182,
031,262,253,062,055,106,080,250,127,067,
032,245,300,149,215,166,190,195,085,138,
206,192,223,053,177,080,198,118,248,033,
034,095,198,117,144,208,178,190,159,099,
036,298,038,250,113,253,206,074,067,158,
085,192,230,039,103,088,045,148,300,061,
090,231,071,069,039,110,050,222,286,070,
165,039,153,137,249,072,203,184,067,233,
140,111,245,098,040,156,060,115,161,092,
040,165,157,137,163,091,203,184,244,093,
040,117,284,144,124,257,151,285,191,163,
043,054,250,184,109,085,146,190,129,223,
270,060,171,095,103,138,234,045,241,106,
216,121,297,282,277,046,226,221,223,292,
047,276,103,151,150,112,166,085,257,115,
048,074,267,254,137,295,237,094,221,104,
133,050,108,282,049,109,219,240,256,196,
131,130,288,289,148,049,167,080,072,273,
050,240,062,150,209,109,291,245,255,139,
080,155,262,052,205,059,190,230,110,265,
284,052,061,137,215,093,169,148,222,144,
054,124,235,086,215,191,058,172,276,156,
190,155,117,203,205,054,115,211,121,283,
112,253,145,056,178,152,283,230,140,066,
074,174,134,194,090,123,066,057,179,198,
249,095,221,101,144,186,122,057,200,279,
075,294,239,058,261,181,165,270,268,240,
195,060,131,069,213,133,071,129,209,202,
067,247,061,214,148,235,257,237,118,291,
061,068,226,153,193,180,227,080,126,183,
235,094,092,277,117,177,085,123,064,232,
120,190,067,126,261,147,103,217,104,224,
167,078,280,152,168,243,092,068,184,088,
068,167,295,081,128,084,089,279,111,256,
069,127,281,211,113,298,132,287,213,233,
118,230,070,103,108,134,111,170,087,083,
075,089,264,155,153,280,146,297,283,151,
219,092,143,233,076,114,126,083,116,103,
077,092,177,088,148,146,231,239,270,217,
197,231,124,189,224,079,276,172,261,114,
241,149,080,091,290,282,095,258,192,107,
255,170,272,092,132,153,253,187,287,146,
181,107,138,124,284,198,241,234,265,210,
