113,036,249,001,210,298,
032,002,242,286,167,144,
283,051,181,002,240,228,
191,008,003,041,073,153,
283,238,172,011,240,003,
089,066,003,248,109,078,
004,241,019,074,166,265,
251,004,222,227,271,238,
033,006,222,023,173,028,
282,020,268,260,007,111,
007,055,046,205,062,231,
201,278,204,226,070,007,
179,150,114,008,264,296,
041,009,298,233,067,194,
206,178,082,152,010,020,
058,081,070,011,116,094,
163,230,193,012,287,094,
063,013,191,078,150,151,
013,093,291,155,188,167,
259,217,014,201,033,238,
178,046,014,164,245,298,
231,014,211,282,227,184,
041,069,223,015,108,135,
015,106,186,188,242,210,
112,222,067,034,016,122,
204,028,074,276,017,198,
075,240,285,227,099,017,
082,031,059,018,230,140,
199,082,251,218,018,265,
018,271,255,101,294,251,
207,212,246,134,279,018,
020,026,223,151,200,141,
020,204,060,103,191,274,
049,024,203,051,055,021,
067,025,033,059,155,021,
021,158,212,197,030,139,
203,043,213,021,115,235,
040,183,146,129,023,163,
175,049,129,023,137,287,
188,245,269,209,024,080,
277,250,262,024,264,097,
209,220,108,025,182,031,
078,207,168,287,025,249,
026,064,082,235,225,124,
094,026,066,255,150,269,
104,186,115,291,174,026,
210,026,219,239,111,293,
240,026,195,233,242,244,
256,027,058,168,137,209,
201,093,205,131,027,101,
207,279,155,099,029,205,
029,185,100,290,256,199,
062,103,031,256,040,101,
092,250,248,176,293,031,
056,032,204,073,057,202,
265,240,177,159,034,220,
193,243,230,035,149,195,
256,246,036,088,262,249,
107,160,106,210,037,072,
271,037,172,128,296,265,
046,039,082,148,189,216,
287,040,053,158,141,216,
141,053,200,232,040,209,
040,076,280,253,135,189,
280,258,043,042,204,210,
115,083,130,234,042,192,
127,210,272,173,299,042,
088,151,202,044,275,124,
045,058,129,051,098,132,
190,300,068,171,262,048,
213,126,246,279,253,050,
206,117,146,267,051,270,
074,107,061,262,052,252,
190,136,163,053,211,238,
180,106,215,075,057,066,
242,057,154,177,143,108,
291,242,125,283,204,063,
247,064,156,188,290,146,
140,084,281,065,154,260,
123,203,187,066,215,082,
205,129,280,184,186,067,
086,159,178,139,180,068,
108,268,248,214,213,072,
169,219,274,277,072,273,
170,274,075,107,102,269,
186,080,161,245,077,125,
084,081,296,145,212,092,
089,084,162,274,279,262,
086,184,236,154,187,175,
271,250,235,132,262,087,
087,299,141,249,231,245,
089,093,097,253,175,212,
090,106,246,148,263,278,
199,092,276,111,097,208,
154,098,094,176,277,142,
149,167,240,099,096,282,
187,114,162,208,096,148,
261,294,290,119,297,292,
153,255,208,261,120,178,
121,187,178,193,167,262,
