001,187,018,102,113,181,246,238,068,
277,225,142,238,063,001,250,252,164,
273,177,145,014,283,162,002,241,293,
002,081,188,061,274,129,023,238,017,
035,046,029,002,055,126,270,063,145,
269,107,222,143,277,002,065,181,071,
244,138,003,120,167,101,215,006,235,
149,003,051,180,083,186,185,011,099,
297,263,118,003,192,057,126,265,122,
005,226,114,154,276,146,131,267,017,
193,005,042,126,199,100,191,179,217,
252,081,006,011,112,172,122,173,054,
194,196,006,107,166,148,162,165,255,
032,109,114,007,289,044,251,094,034,
277,048,248,056,136,007,177,176,114,
280,181,184,113,065,196,070,200,008,
227,009,129,109,038,210,238,235,203,
010,039,278,143,263,086,160,201,257,
092,290,042,056,207,104,164,011,017,
018,011,234,034,217,031,228,021,056,
281,039,102,229,207,217,191,011,187,
200,073,291,220,237,011,193,187,137,
140,083,217,142,081,011,085,157,291,
122,195,174,180,299,011,265,240,188,
095,287,244,075,248,109,015,147,012,
012,054,117,171,237,223,188,118,246,
202,236,087,144,014,097,216,267,207,
079,251,255,081,016,074,189,187,109,
016,136,293,079,203,244,259,251,161,
243,127,088,016,298,279,278,215,083,
273,270,100,162,099,235,287,145,016,
018,125,222,026,093,060,085,159,247,
018,247,123,027,223,243,283,173,266,
090,069,185,018,241,209,282,285,192,
071,188,020,141,029,095,069,216,235,
036,035,231,020,132,110,162,064,284,
154,079,020,289,273,263,298,260,050,
216,122,281,197,271,021,129,219,211,
191,279,023,028,266,277,069,293,296,
023,124,039,282,276,201,182,199,155,
024,177,172,086,265,249,292,039,198,
162,252,278,297,122,113,024,123,048,
224,168,171,133,067,024,261,060,170,
177,083,066,241,244,024,211,197,143,
025,117,033,262,094,223,048,184,125,
077,271,026,062,300,160,063,097,043,
281,065,201,093,066,206,155,026,279,
254,190,286,139,135,262,026,166,295,
215,084,217,099,288,027,277,042,171,
113,162,027,164,263,240,252,293,234,
041,214,176,295,278,075,129,028,249,
028,108,171,089,046,185,200,252,235,
028,169,285,296,089,190,261,143,201,
088,033,229,089,029,104,185,069,148,
292,043,219,298,120,150,183,187,029,
029,045,276,064,111,067,247,244,187,
298,233,280,160,167,048,032,288,187,
233,032,205,149,129,279,132,266,263,
045,136,159,225,298,153,134,247,033,
196,229,061,157,033,166,273,271,118,
276,115,033,291,128,180,220,116,066,
038,121,280,067,177,053,285,209,036,
121,048,036,175,087,081,127,139,230,
267,253,177,117,036,148,138,189,242,
257,200,181,059,037,290,098,116,136,
232,224,087,051,154,161,058,038,135,
237,236,189,175,104,101,051,213,040,
040,076,082,166,215,139,191,096,162,
040,295,143,179,078,219,297,203,195,
194,110,108,137,199,042,098,043,050,
125,291,131,193,135,162,042,249,157,
044,068,260,297,239,122,187,124,233,
044,202,207,097,237,205,257,088,093,
245,264,240,047,045,057,048,239,147,
283,048,260,150,045,216,149,140,250,
188,280,054,184,050,271,045,235,146,
045,153,051,053,224,110,113,208,107,
049,076,251,150,233,294,158,246,140,
138,149,139,051,277,161,215,134,223,
066,052,180,082,151,229,092,111,097,
052,115,117,285,143,088,245,144,066,
157,204,222,094,068,080,178,053,152,
055,155,289,233,214,229,291,193,219,
141,290,060,067,227,106,284,087,294,
209,203,275,067,173,097,259,195,168,
268,069,147,135,221,261,278,238,263,
103,286,207,234,244,291,076,293,253,
287,281,079,199,265,113,099,275,294,
172,085,116,294,212,232,084,277,298,
135,158,150,084,169,243,275,086,299,
085,181,124,251,117,189,244,178,296,
089,259,138,111,292,181,171,211,174,
097,112,220,225,179,172,144,239,143,
273,186,140,114,222,101,204,269,173,
196,250,106,155,154,205,102,180,298,
183,127,161,256,103,221,237,141,139,
249,197,287,213,198,248,118,290,218,
298,251,260,247,128,256,119,153,296,
172,184,190,149,279,237,243,205,257,
155,190,225,269,229,238,286,294,226,
