239,288,092,142,008,123,064,066,218,001,224,077,080,228,
208,192,001,043,072,237,238,216,128,010,094,029,281,203,
031,271,081,011,167,084,041,101,117,138,148,020,001,237,
286,043,164,001,141,134,118,012,212,153,191,253,283,016,
252,019,279,217,044,142,228,112,101,001,159,079,100,197,
094,086,202,238,001,173,288,120,123,236,292,276,211,272,
234,009,113,271,157,274,056,002,053,250,245,046,242,208,
040,025,196,075,216,183,187,018,016,217,002,046,239,273,
098,138,024,244,182,187,002,277,133,248,048,071,278,020,
207,132,049,274,288,167,284,140,032,226,282,223,002,276,
223,119,120,002,143,131,299,294,232,058,246,267,036,174,
199,186,134,138,185,005,156,227,085,003,120,288,072,208,
157,014,193,262,095,258,280,125,071,217,286,019,003,122,
233,059,222,025,128,058,003,268,209,145,099,091,150,143,
111,145,140,124,142,003,135,107,115,104,293,189,136,297,
004,010,031,151,086,279,053,224,264,156,263,254,228,177,
004,013,152,233,280,022,096,115,019,227,240,256,074,084,
162,017,058,004,202,126,091,141,214,155,176,247,132,109,
147,021,210,118,150,163,271,231,004,280,252,283,044,164,
004,032,152,125,271,046,136,145,101,177,066,208,299,185,
268,045,235,234,292,151,004,134,285,108,275,064,219,240,
054,153,235,222,080,005,166,021,123,167,007,170,184,252,
246,292,167,250,009,092,139,026,181,005,161,037,084,035,
225,129,110,216,070,055,111,019,286,034,118,087,149,005,
045,036,197,246,298,297,236,253,005,043,192,269,150,115,
005,161,282,196,254,182,054,056,101,038,253,067,055,195,
176,231,037,041,066,112,273,006,144,018,147,247,148,277,
046,136,065,163,287,101,019,075,157,165,172,006,274,048,
167,131,048,065,151,248,211,285,234,194,265,006,161,157,
118,197,107,139,251,187,007,200,146,152,120,013,084,015,
152,154,016,205,109,013,270,075,063,289,167,103,007,153,
007,014,299,067,078,016,134,239,112,160,041,097,081,044,
007,111,197,264,251,044,124,132,193,130,214,095,240,126,
247,279,051,103,109,092,062,210,227,216,069,007,287,085,
115,227,234,007,127,143,215,051,081,098,103,166,076,236,
216,280,146,008,066,130,101,238,166,191,106,217,053,011,
207,016,034,055,198,271,300,192,291,100,140,008,212,181,
258,205,035,029,008,051,021,248,275,281,171,084,196,297,
010,146,163,017,075,073,290,200,274,099,155,237,261,070,
068,232,024,287,219,095,279,103,148,026,230,032,010,175,
163,084,220,287,218,114,285,146,200,229,263,250,010,288,
277,121,236,028,091,160,104,110,011,012,248,073,058,113,
011,023,074,109,167,083,066,258,213,269,222,071,162,126,
147,256,177,042,233,269,272,171,244,041,033,011,259,247,
012,215,202,149,114,033,150,146,291,072,243,216,077,128,
139,090,217,084,190,268,054,012,235,077,201,156,078,099,
213,296,106,255,262,294,165,012,238,137,135,292,174,123,
035,123,070,077,095,177,013,157,152,292,268,193,184,224,
014,246,032,119,288,073,180,147,065,110,186,087,023,071,
136,288,049,061,067,105,102,065,014,030,216,195,278,290,
136,038,168,052,241,205,077,014,057,059,222,153,049,129,
273,044,185,176,173,111,298,061,226,014,237,235,130,228,
115,260,084,194,186,224,177,242,040,149,045,015,024,247,
181,233,015,295,298,079,229,232,200,223,025,165,056,268,
239,089,289,281,118,136,015,243,190,273,088,054,103,180,
082,253,178,212,264,291,110,047,271,093,026,016,168,217,
016,212,296,055,158,084,255,098,181,263,290,086,295,167,
017,088,089,022,207,273,047,117,156,199,205,151,120,226,
066,026,200,161,256,034,282,120,269,279,242,018,239,286,
191,045,019,235,061,160,040,142,181,035,105,109,178,176,
281,258,283,227,175,253,157,072,241,197,038,022,275,020,
033,020,181,216,160,175,023,105,050,049,177,205,030,117,
255,053,076,020,214,291,088,166,104,234,153,283,086,192,
291,139,172,022,107,260,021,088,186,210,244,296,149,146,
121,196,270,210,294,058,021,120,203,207,030,242,128,095,
021,031,242,205,125,210,192,282,095,107,033,263,090,235,
046,095,165,164,021,193,122,083,183,226,281,153,275,282,
211,226,124,022,086,058,239,196,160,299,074,079,159,272,
196,070,089,092,116,091,286,127,288,263,160,022,256,255,
267,157,036,180,035,039,027,135,293,142,024,144,079,240,
191,099,088,106,248,024,225,145,037,160,283,137,181,126,
258,112,069,147,061,206,025,080,092,170,102,034,244,266,
025,177,194,243,131,087,060,037,054,217,251,233,287,098,
025,200,211,130,248,177,247,061,154,083,226,145,293,132,
246,208,206,078,282,264,027,074,091,226,079,290,266,043,
111,076,070,291,027,189,185,168,152,289,118,091,227,129,
028,107,129,179,049,103,088,285,081,259,247,033,151,200,
028,112,131,118,124,197,247,180,169,289,267,257,162,058,
079,129,060,041,029,272,201,215,238,186,145,099,125,292,
176,118,173,230,295,185,029,212,233,237,245,269,142,266,
058,157,094,239,261,116,139,132,041,045,030,126,254,228,
227,152,073,048,218,279,030,100,103,199,196,110,112,047,
070,244,259,158,206,269,292,264,031,147,242,273,256,291,
114,032,047,107,053,094,165,051,034,251,159,111,262,060,
120,125,271,073,076,160,259,133,048,206,188,258,122,035,
199,133,256,216,268,157,131,035,055,169,254,192,245,162,
089,278,035,290,118,072,232,135,198,067,280,171,148,267,
036,276,091,089,068,066,202,144,087,183,291,049,237,294,
069,050,234,117,296,160,158,249,265,270,264,037,153,124,
037,269,144,187,126,119,095,110,190,258,191,232,114,181,
113,063,273,114,039,144,136,157,163,187,285,201,123,262,
280,046,089,221,173,041,186,121,097,175,124,195,277,134,
162,061,069,103,044,164,284,185,154,091,125,289,075,121,
225,149,044,221,145,064,285,282,086,218,249,258,151,102,
046,204,051,287,127,121,237,173,157,151,274,167,126,270,
049,278,086,203,072,157,201,141,246,191,197,192,106,300,
119,068,139,084,226,207,124,050,077,080,300,096,153,148,
167,195,207,171,155,135,073,067,229,080,254,172,208,282,
171,095,187,134,088,102,150,154,151,118,112,271,246,221,
130,145,268,140,193,215,234,291,214,108,190,111,170,299,
