Before Time : Sun Sep 08 17:36:10 2019

295,142,40,99,79,24,274,09,272,276,01,,295,274,40,09,79,24,142,99,272,276,01,,522,39916800
71,26,158,242,246,196,185,235,01,156,90,,71,26,01,242,246,196,185,235,158,156,90,,452,39916800
212,119,182,298,179,97,188,01,40,222,224,,212,119,97,298,179,182,01,188,40,222,224,,398,39916800
183,298,01,117,61,274,273,93,292,299,136,,183,273,01,61,117,274,298,292,93,299,136,,402,39916800
196,298,197,01,137,99,114,268,275,213,133,,196,275,197,213,137,99,114,298,268,01,133,,456,39916800
02,122,276,273,241,200,123,108,94,04,36,,02,04,276,273,200,123,108,94,122,241,36,,442,39916800
263,177,220,196,193,02,213,19,274,295,161,,263,274,220,213,193,02,196,19,177,295,161,,482,39916800
186,43,288,27,113,02,179,269,185,70,283,,186,185,288,283,113,179,269,43,02,70,27,,340,39916800
02,275,175,168,117,89,132,65,251,34,290,,02,34,175,168,117,89,132,251,275,65,290,,360,39916800
181,105,295,296,47,02,93,164,197,113,130,,181,105,02,47,295,296,93,164,197,113,130,,394,39916800
02,65,243,281,291,189,152,50,244,89,292,,02,65,243,244,291,189,152,50,281,89,292,,348,39916800
158,55,62,77,02,294,86,80,161,219,119,,158,55,77,62,02,294,86,80,161,219,119,,334,39916800
100,87,294,280,142,286,206,268,177,120,03,,100,87,03,280,142,206,268,177,120,294,286,,340,39916800
267,128,145,03,196,250,256,195,224,254,147,,267,250,145,196,128,03,256,195,224,254,147,,432,39916800
04,174,210,292,09,164,96,272,187,35,83,,04,35,210,292,09,164,96,272,174,187,83,,486,39916800
17,165,239,118,149,04,150,200,171,107,130,,17,04,239,200,149,165,130,118,171,107,150,,322,39916800
51,40,59,86,246,70,47,207,216,265,04,,51,70,59,47,246,40,04,207,216,265,86,,424,39916800
270,253,124,119,136,184,176,04,217,49,145,,270,184,124,253,217,119,176,04,136,49,145,,364,39916800
170,277,255,118,229,111,83,04,296,288,275,,170,229,255,288,277,275,83,04,296,118,111,,350,39916800
13,254,82,26,199,06,269,05,218,20,50,,13,06,82,05,199,254,218,26,269,20,50,,386,39916800
194,05,32,106,213,141,210,107,09,137,252,,194,213,32,05,09,141,210,107,106,137,252,,332,39916800
210,230,290,14,165,190,287,214,271,05,282,,210,190,290,287,165,230,214,14,271,05,282,,538,39916800
131,94,77,23,241,270,05,206,165,162,228,,131,94,77,05,241,270,23,206,165,162,228,,348,39916800
57,130,05,33,118,260,283,147,148,272,139,,57,130,05,33,118,260,283,147,148,272,139,,344,39916800
05,237,83,47,111,197,294,130,290,181,110,,05,237,294,111,197,83,47,130,290,181,110,,392,39916800
