Before Time : Fri Sep  6 16:27:18 2019

113,36,249,01,210,298,,113,249,36,01,210,298,,176,720
32,02,242,286,167,144,,32,02,242,286,167,144,,138,720
283,51,181,02,240,228,,283,181,51,02,240,228,,190,720
191,08,03,41,73,153,,191,153,03,08,41,73,,206,720
283,238,172,11,240,03,,283,238,240,11,172,03,,262,720
89,66,03,248,109,78,,66,03,89,78,109,248,,198,720
04,241,19,74,166,265,,04,241,19,74,166,265,,158,720
251,04,222,227,271,238,,04,222,251,271,227,238,,184,720
33,06,222,23,173,28,,33,06,222,173,23,28,,138,720
282,20,268,260,07,111,,282,20,07,268,260,111,,238,720
07,55,46,205,62,231,,07,55,46,62,205,231,,216,720
201,278,204,226,70,07,,201,278,204,226,70,07,,258,720
179,150,114,08,264,296,,179,264,114,08,150,296,,262,720
41,09,298,233,67,194,,41,09,67,298,233,194,,222,720
206,178,82,152,10,20,,206,178,152,82,10,20,,296,720
58,81,70,11,116,94,,58,11,70,81,94,116,,240,720
163,230,193,12,287,94,,163,230,287,12,193,94,,238,720
63,13,191,78,150,151,,63,13,191,151,150,78,,162,720
13,93,291,155,188,167,,13,93,291,188,155,167,,224,720
259,217,14,201,33,238,,259,217,14,33,201,238,,194,720
178,46,14,164,245,298,,178,164,14,46,245,298,,242,720
231,14,211,282,227,184,,231,282,211,14,184,227,,226,720
41,69,223,15,108,135,,69,223,41,15,108,135,,184,720
15,106,186,188,242,210,,15,106,186,242,188,210,,206,720
112,222,67,34,16,122,,112,16,67,34,222,122,,244,720
204,28,74,276,17,198,,204,276,74,28,17,198,,262,720
75,240,285,227,99,17,,75,99,285,240,227,17,,248,720
82,31,59,18,230,140,,82,31,59,18,230,140,,198,720
199,82,251,218,18,265,,199,82,18,251,218,265,,216,720
18,271,255,101,294,251,,18,101,271,255,251,294,,198,720
207,212,246,134,279,18,,212,246,207,279,134,18,,206,720
20,26,223,151,200,141,,20,26,223,151,200,141,,246,720
20,204,60,103,191,274,,20,204,191,60,103,274,,306,720
49,24,203,51,55,21,,49,51,203,24,21,55,,212,720
67,25,33,59,155,21,,67,33,25,21,155,59,,172,720
21,158,212,197,30,139,,158,212,21,197,30,139,,144,720
203,43,213,21,115,235,,43,213,203,21,115,235,,154,720
40,183,146,129,23,163,,40,183,146,129,23,163,,194,720
175,49,129,23,137,287,,175,287,129,49,137,23,,202,720
188,245,269,209,24,80,,188,245,269,209,24,80,,156,720
277,250,262,24,264,97,,277,250,262,264,24,97,,194,720
209,220,108,25,182,31,,209,220,182,25,108,31,,268,720
78,207,168,287,25,249,,78,207,287,168,249,25,,240,720
26,64,82,235,225,124,,26,64,82,225,235,124,,230,720
94,26,66,255,150,269,,94,66,26,255,150,269,,140,720
104,186,115,291,174,26,,104,186,115,291,174,26,,162,720
210,26,219,239,111,293,,210,239,219,26,111,293,,200,720
240,26,195,233,242,244,,240,233,195,242,26,244,,300,720
256,27,58,168,137,209,,256,27,58,168,137,209,,228,720
201,93,205,131,27,101,,201,93,205,131,27,101,,206,720
207,279,155,99,29,205,,207,205,155,279,99,29,,168,720
29,185,100,290,256,199,,185,100,29,290,256,199,,200,720
62,103,31,256,40,101,,62,31,103,40,256,101,,170,720
92,250,248,176,293,31,,250,248,92,31,293,176,,160,720
56,32,204,73,57,202,,56,73,32,204,202,57,,188,720
265,240,177,159,34,220,,265,240,220,34,177,159,,326,720
193,243,230,35,149,195,,193,243,230,195,149,35,,184,720
256,246,36,88,262,249,,246,36,256,249,262,88,,158,720
107,160,106,210,37,72,,107,37,210,160,106,72,,190,720
271,37,172,128,296,265,,271,37,172,128,296,265,,164,720
46,39,82,148,189,216,,46,39,82,189,148,216,,220,720
287,40,53,158,141,216,,287,216,53,141,40,158,,240,720
141,53,200,232,40,209,,141,53,40,232,209,200,,212,720
40,76,280,253,135,189,,40,76,280,189,135,253,,212,720
280,258,43,42,204,210,,280,258,43,42,204,210,,168,720
115,83,130,234,42,192,,115,130,83,42,234,192,,224,720
127,210,272,173,299,42,,127,272,210,299,173,42,,164,720
88,151,202,44,275,124,,88,44,151,202,275,124,,260,720
45,58,129,51,98,132,,45,98,129,58,51,132,,220,720
190,300,68,171,262,48,,190,68,300,262,171,48,,186,720
213,126,246,279,253,50,,213,126,246,279,253,50,,168,720
206,117,146,267,51,270,,206,267,146,117,51,270,,212,720
74,107,61,262,52,252,,74,61,107,252,52,262,,170,720
190,136,163,53,211,238,,190,211,53,238,163,136,,180,720
180,106,215,75,57,66,,180,215,106,75,57,66,,214,720
242,57,154,177,143,108,,242,154,57,108,143,177,,134,720
291,242,125,283,204,63,,291,283,242,125,63,204,,188,720
247,64,156,188,290,146,,64,156,247,188,290,146,,138,720
140,84,281,65,154,260,,140,84,65,281,154,260,,260,720
123,203,187,66,215,82,,123,203,187,215,66,82,,204,720
205,129,280,184,186,67,,205,184,280,186,129,67,,258,720
86,159,178,139,180,68,,86,68,139,180,159,178,,208,720
108,268,248,214,213,72,,108,72,248,214,268,213,,276,720
169,219,274,277,72,273,,169,219,277,274,273,72,,232,720
170,274,75,107,102,269,,170,274,75,102,107,269,,174,720
186,80,161,245,77,125,,186,245,161,80,77,125,,220,720
84,81,296,145,212,92,,84,81,92,145,296,212,,288,720
89,84,162,274,279,262,,89,84,162,274,279,262,,282,720
86,184,236,154,187,175,,86,184,154,236,187,175,,242,720
271,250,235,132,262,87,,271,250,235,262,132,87,,166,720
87,299,141,249,231,245,,87,299,249,141,231,245,,298,720
89,93,97,253,175,212,,89,93,97,212,175,253,,208,720
90,106,246,148,263,278,,90,106,246,278,263,148,,200,720
199,92,276,111,97,208,,92,276,199,97,111,208,,152,720
154,98,94,176,277,142,,154,94,98,277,176,142,,126,720
149,167,240,99,96,282,,149,167,240,282,96,99,,300,720
187,114,162,208,96,148,,187,162,114,96,208,148,,160,720
261,294,290,119,297,292,,261,294,297,119,290,292,,200,720
153,255,208,261,120,178,,153,255,208,261,120,178,,142,720
121,187,178,193,167,262,,121,187,178,193,167,262,,172,720
After Time : Fri Sep  6 16:27:18 2019

seconds=0.000000
