Before Time : Fri Sep  6 16:32:52 2019

40,286,13,290,227,177,01,107,167,06,,40,286,290,227,177,13,01,107,167,06,,426,17280
193,23,01,62,204,74,81,63,85,26,,193,23,01,62,204,74,63,81,85,26,,300,17280
52,50,194,02,167,30,207,226,24,05,,52,50,194,02,167,30,24,226,207,05,,366,17280
247,61,100,178,119,201,241,16,02,286,,61,100,178,119,201,247,241,16,02,286,,418,17280
08,22,54,299,213,03,263,220,166,93,,08,22,54,213,03,299,263,220,166,93,,378,17280
100,42,03,178,144,226,117,83,95,46,,100,03,178,144,226,42,95,83,117,46,,328,17280
120,186,171,03,89,185,267,219,114,117,,120,186,171,03,185,89,114,219,267,117,,302,17280
04,266,118,299,195,166,108,281,13,224,,04,266,118,195,166,299,281,108,13,224,,422,17280
150,170,92,58,203,121,76,228,99,04,,150,170,92,203,121,58,04,228,99,76,,390,17280
289,60,246,137,166,231,04,259,249,214,,60,246,137,166,231,289,259,04,249,214,,448,17280
279,148,06,137,88,170,12,194,246,179,,148,06,137,88,170,279,246,194,12,179,,380,17280
159,07,40,253,172,22,78,86,270,287,,159,07,40,253,172,22,78,86,270,287,,288,17280
29,184,252,94,170,104,07,59,227,231,,184,252,94,170,104,29,07,59,227,231,,310,17280
55,113,235,61,146,117,09,270,56,99,,113,235,61,146,117,55,09,270,56,99,,392,17280
150,21,10,191,60,11,250,48,145,93,,150,21,10,191,11,60,48,250,145,93,,406,17280
10,133,30,229,77,184,227,210,270,48,,10,133,30,77,184,229,227,210,270,48,,292,17280
126,266,48,73,138,10,78,33,249,213,,126,48,73,138,10,266,249,33,78,213,,406,17280
88,291,10,194,73,37,151,185,79,110,,88,291,10,73,37,194,185,151,79,110,,388,17280
11,49,204,214,126,223,55,298,285,192,,11,49,204,214,126,223,192,298,285,55,,298,17280
81,204,159,11,264,220,255,211,196,292,,81,204,159,11,220,264,255,211,196,292,,390,17280
267,15,120,77,163,245,235,284,12,99,,267,120,77,163,245,15,12,284,235,99,,392,17280
203,47,295,92,103,12,220,61,94,209,,203,47,92,103,12,295,220,61,94,209,,386,17280
13,21,166,275,199,133,293,253,102,72,,13,21,166,275,133,199,253,293,102,72,,354,17280
136,42,113,111,120,168,13,277,227,160,,136,113,111,120,168,42,13,277,227,160,,430,17280
132,119,262,145,13,253,277,44,199,258,,132,119,262,145,13,253,277,44,199,258,,406,17280
13,78,202,116,270,197,206,257,181,286,,13,78,202,116,197,270,257,206,181,286,,428,17280
133,17,148,14,136,225,231,179,28,93,,133,17,148,136,225,14,93,179,28,231,,330,17280
266,18,19,265,64,14,190,207,146,165,,266,18,19,64,14,265,190,207,146,165,,354,17280
58,234,14,29,23,114,97,76,274,294,,58,14,29,23,114,234,274,76,97,294,,488,17280
94,178,256,275,14,287,50,127,110,221,,94,178,256,275,14,287,221,127,110,50,,348,17280
83,133,57,291,146,162,153,276,114,14,,83,133,57,146,162,291,276,153,114,14,,432,17280
130,85,223,180,220,264,244,229,114,14,,130,85,223,180,220,264,244,229,114,14,,392,17280
14,299,122,288,165,208,152,211,112,290,,14,122,288,165,208,299,290,211,112,152,,414,17280
154,176,72,44,126,244,93,16,37,80,,154,176,72,126,244,44,37,16,93,80,,324,17280
124,134,16,115,225,63,150,249,77,263,,124,134,16,115,63,225,249,150,77,263,,278,17280
74,17,275,64,111,107,169,299,230,255,,74,17,275,64,111,107,255,299,230,169,,294,17280
50,247,18,252,293,299,272,88,71,98,,50,247,18,252,293,299,272,88,71,98,,428,17280
57,110,18,143,98,177,183,213,249,279,,57,110,18,143,98,177,183,213,249,279,,492,17280
269,69,262,138,180,74,93,205,140,18,,69,262,138,180,74,269,205,93,140,18,,396,17280
18,130,267,208,100,197,132,149,199,227,,18,130,208,100,197,267,227,149,199,132,,344,17280
216,132,106,19,119,47,147,142,185,248,,132,106,19,119,47,216,185,142,147,248,,354,17280
63,95,226,73,49,72,19,296,131,261,,63,95,226,73,72,49,19,296,131,261,,276,17280
276,64,104,68,48,20,139,254,75,295,,276,64,104,68,48,20,75,254,139,295,,294,17280
