Before Time : Fri Sep  6 16:32:20 2019

01,187,18,102,113,181,246,238,68,,01,187,102,113,181,18,68,238,246,,268,4320
277,225,142,238,63,01,250,252,164,,277,225,142,63,01,238,250,252,164,,312,4320
273,177,145,14,283,162,02,241,293,,273,177,145,14,162,283,241,02,293,,372,4320
02,81,188,61,274,129,23,238,17,,02,188,61,274,129,81,17,238,23,,188,4320
35,46,29,02,55,126,270,63,145,,35,46,29,02,126,55,63,270,145,,278,4320
269,107,222,143,277,02,65,181,71,,269,107,222,143,02,277,181,65,71,,374,4320
244,138,03,120,167,101,215,06,235,,138,03,120,167,101,244,215,06,235,,318,4320
149,03,51,180,83,186,185,11,99,,149,03,180,83,186,51,11,185,99,,392,4320
297,263,118,03,192,57,126,265,122,,263,118,03,192,57,297,265,126,122,,398,4320
05,226,114,154,276,146,131,267,17,,05,226,154,276,146,114,17,267,131,,280,4320
193,05,42,126,199,100,191,179,217,,193,05,42,126,100,199,191,179,217,,254,4320
252,81,06,11,112,172,122,173,54,,252,81,06,11,112,172,122,173,54,,316,4320
194,196,06,107,166,148,162,165,255,,194,06,107,166,148,196,255,165,162,,324,4320
32,109,114,07,289,44,251,94,34,,32,109,114,07,44,289,251,94,34,,360,4320
277,48,248,56,136,07,177,176,114,,277,48,248,136,07,56,114,176,177,,238,4320
280,181,184,113,65,196,70,200,08,,280,181,184,65,196,113,70,200,08,,270,4320
227,09,129,109,38,210,238,235,203,,227,09,129,109,38,210,238,235,203,,256,4320
10,39,278,143,263,86,160,201,257,,10,39,278,143,86,263,257,201,160,,330,4320
92,290,42,56,207,104,164,11,17,,92,290,42,207,104,56,11,164,17,,346,4320
18,11,234,34,217,31,228,21,56,,18,11,34,217,31,234,228,21,56,,240,4320
281,39,102,229,207,217,191,11,187,,281,39,102,229,207,217,187,11,191,,344,4320
200,73,291,220,237,11,193,187,137,,200,73,291,220,11,237,193,187,137,,358,4320
140,83,217,142,81,11,85,157,291,,140,83,142,81,11,217,157,85,291,,324,4320
122,195,174,180,299,11,265,240,188,,122,195,174,180,11,299,265,240,188,,318,4320
95,287,244,75,248,109,15,147,12,,95,287,244,248,109,75,15,147,12,,260,4320
12,54,117,171,237,223,188,118,246,,12,54,117,171,237,223,246,118,188,,388,4320
202,236,87,144,14,97,216,267,207,,202,87,144,14,97,236,216,267,207,,342,4320
79,251,255,81,16,74,189,187,109,,79,251,81,16,74,255,189,187,109,,350,4320
16,136,293,79,203,244,259,251,161,,16,136,79,203,244,293,259,251,161,,350,4320
243,127,88,16,298,279,278,215,83,,243,127,88,16,298,279,278,215,83,,346,4320
273,270,100,162,99,235,287,145,16,,273,100,162,99,235,270,287,145,16,,288,4320
18,125,222,26,93,60,85,159,247,,18,125,26,93,60,222,247,159,85,,330,4320
