49,277,259,44,292,96,01,,44,01,292,49,277,259,96,,302,1
273,79,174,296,01,252,204,,01,174,79,296,273,252,204,,284,1
02,248,63,125,78,294,24,,125,248,63,02,294,24,78,,218,1
107,59,02,258,92,105,273,,02,273,258,105,92,59,107,,308,1
166,29,22,90,234,03,140,,140,234,90,29,166,22,03,,266,1
26,226,265,185,66,190,03,,66,190,226,265,26,03,185,,368,1
98,277,32,219,162,41,03,,32,219,41,277,03,98,162,,274,1
185,172,03,252,242,206,289,,185,242,206,03,289,172,252,,260,1
10,132,48,93,164,64,04,,132,48,10,93,64,04,164,,306,1
182,11,46,255,04,127,267,,46,04,255,127,182,267,11,,290,1
92,71,21,37,197,04,80,,21,04,197,80,37,71,92,,274,1
04,270,197,155,201,278,27,,278,270,197,27,201,155,04,,314,1
04,77,93,207,70,108,105,,04,108,93,207,77,105,70,,254,1
113,05,112,73,102,121,275,,05,113,112,102,121,73,275,,312,1
06,34,84,298,281,282,92,,84,06,34,92,298,281,282,,258,1
09,210,281,271,204,266,19,,09,204,19,281,210,271,266,,286,1
204,187,24,09,119,42,180,,09,119,187,42,204,24,180,,254,1
256,28,09,109,211,214,113,,256,214,09,211,28,113,109,,292,1
109,158,09,154,146,193,161,,158,193,154,146,09,109,161,,240,1
161,28,279,139,10,144,57,,139,10,28,57,144,161,279,,232,1
40,252,10,205,90,157,65,,90,65,40,205,10,157,252,,280,1
46,123,11,62,106,184,246,,123,246,11,62,46,106,184,,284,1
288,61,11,225,219,263,251,,288,251,61,263,225,11,219,,278,1
200,105,11,223,113,195,269,,105,223,200,11,195,269,113,,222,1
18,277,32,12,203,292,233,,277,233,292,32,203,18,12,,254,1
211,53,55,12,192,72,49,,49,12,55,53,192,211,72,,306,1
54,238,63,13,211,283,170,,211,283,54,63,13,170,238,,322,1
115,95,282,68,14,80,162,,14,282,115,95,68,162,80,,260,1
14,85,208,70,236,71,285,,70,285,71,236,14,85,208,,298,1
21,222,33,166,203,15,255,,222,203,255,33,21,166,15,,242,1
85,148,95,40,149,15,43,,85,15,148,43,149,40,95,,272,1
263,275,196,288,15,229,46,,46,263,275,15,196,288,229,,274,1
98,62,102,15,252,245,164,,98,102,62,252,164,15,245,,254,1
24,288,292,16,138,297,300,,24,16,288,300,138,292,297,,256,1
20,266,121,268,47,92,17,,92,20,47,17,268,266,121,,276,1
158,131,188,84,145,111,17,,158,131,84,145,111,188,17,,192,1
254,83,103,196,215,18,284,,215,196,284,83,254,103,18,,292,1
285,73,19,199,247,84,135,,135,19,73,285,199,247,84,,254,1
130,271,294,108,254,19,95,,294,19,95,254,271,108,130,,290,1
97,251,20,68,250,278,294,,20,68,278,97,251,250,294,,262,1
258,70,66,50,21,139,229,,70,50,229,66,258,21,139,,216,1
21,244,136,177,236,71,198,,136,177,198,21,244,236,71,,258,1
82,140,22,111,36,293,215,,111,36,215,140,82,22,293,,316,1
23,163,155,84,232,234,181,,181,23,163,155,84,234,232,,258,1
262,23,182,195,163,200,263,,200,23,263,262,163,195,182,,272,1
221,277,24,117,285,27,297,,285,221,27,117,277,297,24,,256,1
280,282,69,200,230,24,32,,69,200,280,230,24,32,282,,268,1
70,251,24,194,192,278,121,,251,194,278,192,121,70,24,,308,1
254,129,25,282,102,273,156,,156,129,282,254,25,102,273,,322,1
196,76,116,198,165,32,26,,116,196,198,32,76,26,165,,288,1
59,147,287,118,27,271,269,,118,27,147,59,269,287,271,,284,1
224,223,208,289,85,149,27,,149,208,27,289,224,223,85,,248,1
145,258,28,95,146,249,150,,146,258,145,28,150,249,95,,302,1
82,66,298,168,196,30,216,,196,216,298,66,82,30,168,,272,1
32,184,67,138,140,169,41,,41,32,138,140,169,67,184,,214,1
34,152,173,53,237,35,244,,244,34,173,53,35,152,237,,272,1
63,282,34,35,212,272,57,,35,282,212,57,63,34,272,,256,1
108,123,87,34,191,197,285,,87,191,197,123,108,34,285,,278,1
265,34,176,196,169,161,142,,142,265,169,196,161,34,176,,258,1
120,88,35,57,232,115,44,,88,57,35,115,232,44,120,,264,1
89,99,53,36,133,153,294,,53,99,153,36,89,133,294,,308,1
116,36,203,217,254,277,286,,116,217,254,286,203,36,277,,318,1
213,38,50,37,291,241,106,,106,291,50,37,241,38,213,,284,1
270,62,151,188,215,38,240,,215,62,188,151,38,270,240,,268,1
250,76,107,230,49,39,193,,107,76,250,230,39,49,193,,262,1
76,189,164,39,218,204,237,,189,218,237,164,76,204,39,,234,1
255,224,40,124,161,131,288,,40,161,288,224,124,255,131,,272,1
41,149,105,63,76,207,122,,122,207,76,41,105,63,149,,280,1
130,118,165,290,145,42,92,,145,118,130,165,290,92,42,,286,1
51,43,65,106,70,168,282,,51,43,282,70,106,65,168,,274,1
74,78,100,282,43,190,287,,78,74,43,287,282,190,100,,274,1
44,74,83,183,113,241,270,,83,44,183,113,270,74,241,,272,1
97,246,227,168,57,261,46,,97,227,168,57,261,246,46,,202,1
233,122,235,247,285,260,47,,235,260,47,247,233,285,122,,288,1
100,162,268,49,229,125,57,,229,100,162,268,49,125,57,,246,1
96,260,155,262,66,49,97,,96,262,260,97,66,155,49,,294,1
212,154,189,49,140,278,159,,212,154,278,159,189,49,140,,222,1
258,149,52,206,256,199,214,,149,258,214,52,206,256,199,,294,1
58,107,78,183,104,199,64,,78,199,104,183,64,58,107,,322,1
89,191,60,283,226,195,268,,195,268,283,89,60,191,226,,292,1
261,202,86,269,133,62,238,,238,86,269,62,133,261,202,,308,1
136,67,296,111,75,234,138,,234,67,138,111,136,75,296,,256,1
69,278,277,218,74,231,169,,278,218,74,169,277,69,231,,232,1
